id,code,location,type,region,geo_chem,lat,long,depth,temp,psu,do,orp,ph,ms/cm,mVph,ppt tds,Cl,Br,SO4,Na,NH3,K,Mg,Ca,Mn,Fe,Zn,As,Rb,Sr,Mo,Cs
4,BC,Gulf of Naples,biofilm,Somma-Vesuvius,Cluster_3,40.688578,14.454745,0.2,26.4,17.65,53.7,-226.2,6.3,28.66,30.5,14.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,BC,Gulf of Naples,fluid,Somma-Vesuvius,Cluster_3,40.688578,14.454745,0.2,26.4,17.65,53.7,-226.2,6.3,28.66,30.5,14.31,10030.06,34.27,1377.55,5817.65,NA,195.81,606.87,460.67,0.047346,0.097862,0.193533,0.011163,0.120608,8.110929,0,0.006474
A,BC,Gulf of Naples,sediment,Somma-Vesuvius,Cluster_3,40.688578,14.454745,0.2,26.4,17.65,53.7,-226.2,6.3,28.66,30.5,14.31,10030.06,34.27,1377.55,5817.65,NA,195.81,606.87,460.67,0.047346,0.097862,0.193533,0.011163,0.120608,8.110929,0,0.006474
16,CM1,Gulf of Naples,fluid,Campi Flegrei Caldera rim,Cluster_1,40.77955,14.08835,7,26.3,27.54,55,-115.4,5.87,56.58,55.6,28.35,21094.04,72.48,2909.92,12303.49,NA,397.03,1395.49,465.66,0.061217,0.113124,0.456657,0.021972,0.157602,11.4028,0.010804,0.002033
1,CM1,Gulf of Naples,sediment,Campi Flegrei Caldera rim,Cluster_1,40.77955,14.08835,7,26.3,27.54,55,-115.4,5.87,56.58,55.6,28.35,21094.04,72.48,2909.92,12303.49,NA,397.03,1395.49,465.66,0.061217,0.113124,0.456657,0.021972,0.157602,11.4028,0.010804,0.002033
7,CM2,Gulf of Naples,biofilm,Campi Flegrei Caldera rim,Cluster_1,40.77955,14.08835,8.3,27,38.37,92,54.2,6.3,57.54,46.5,28.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,CM2,Gulf of Naples,fluid,Campi Flegrei Caldera rim,Cluster_1,40.77955,14.08835,8.3,27,38.37,92,54.2,6.3,57.54,46.5,28.76,20846.61,72.06,2868.06,12130.2,NA,389.49,1366.48,437.72,0.0037,0.011037,0.03308,0.020202,0.147709,10.23195,0.011593,0.005425
11,CM2,Gulf of Naples,sediment,Campi Flegrei Caldera rim,Cluster_1,40.77955,14.08835,8.3,27,38.37,92,54.2,6.3,57.54,46.5,28.76,20846.61,72.06,2868.06,12130.2,NA,389.49,1366.48,437.72,0.0037,0.011037,0.03308,0.020202,0.147709,10.23195,0.011593,0.005425
17,GB,Gulf of Naples,fluid,Campi Flegrei Caldera,Cluster_2,40.82375,14.0789,5.4,28,35.41,43,-145.2,5.33,53.64,83.5,26.8,19842.83,68.07,2206.67,11722.55,33.28,597.37,1026.25,482.27,3.099014,11.12343,0.170947,0.512667,3.237141,11.48762,0.000985,0.170143
F,GB,Gulf of Naples,sediment,Campi Flegrei Caldera,Cluster_2,40.82375,14.0789,5.4,28,35.41,43,-145.2,5.33,53.64,83.5,26.8,19842.83,68.07,2206.67,11722.55,33.28,597.37,1026.25,482.27,3.099014,11.12343,0.170947,0.512667,3.237141,11.48762,0.000985,0.170143
